annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
3	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	Im going to take the Obama approach to this <br/> Abortion is never something a women would take lightly there will always be a lot of thinking asking for help and even praying involved with making that decision. The pro-life people just don't seam to understand that we also think the abortion is a sad and awful thing and we pro-choicers hope nobody would ever have to make this difficult and life altering situation. there for this decision should be left to the women and not some man miles away in d.c. that has never faced it	37929	pro-choice-vs-pro-life	pro-choice
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	You don't know these girl's/women's stories, who are you to judge what they can or can't do? Until you've walked a mile in these girl's/women's shoes, than you may have the opportunity to speak on their behalf. Until then, you may not have to like it and may stand firm with your opinion, but at least have the audacity to respect other's opinions on the subject matter.	74039	pro-choice-vs-pro-life	pro-choice
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	You don't know these girl's/women's stories, who are you to judge what they can or can't do? Until you've walked a mile in these girl's/women's shoes, than you may have the opportunity to speak on their behalf. Until then, you may not have to like it and may stand firm with your opinion, but at least have the audacity to respect other's opinions on the subject matter.	74039	pro-choice-vs-pro-life	pro-choice
3	y	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	You don't know these girl's/women's stories, who are you to judge what they can or can't do? Until you've walked a mile in these girl's/women's shoes, than you may have the opportunity to speak on their behalf. Until then, you may not have to like it and may stand firm with your opinion, but at least have the audacity to respect other's opinions on the subject matter.	74039	pro-choice-vs-pro-life	pro-choice
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	If a woman is raped and left with the bastard child of the man who raped her and severely emotionally traumatized her, she should have the decision to give up that baby. Certain circumstances call for desperate decisions and this is one, the choice should be her's to make and she should be allowed to make it.	1633	pro-choice-vs-pro-life	pro-choice
2	y	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	If a woman is raped and left with the bastard child of the man who raped her and severely emotionally traumatized her, she should have the decision to give up that baby. Certain circumstances call for desperate decisions and this is one, the choice should be her's to make and she should be allowed to make it.	1633	pro-choice-vs-pro-life	pro-choice
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	If a woman is raped and left with the bastard child of the man who raped her and severely emotionally traumatized her, she should have the decision to give up that baby. Certain circumstances call for desperate decisions and this is one, the choice should be her's to make and she should be allowed to make it.	1633	pro-choice-vs-pro-life	pro-choice
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	While I personally do not think that abortion is right in any way shape or form. I do not believe the government has the right to make that decision. This is a decision to be made by the parents of the unborn child. NOT the government.	1661	pro-choice-vs-pro-life	pro-choice
2	y	1 (Low)	3 (High)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	While I personally do not think that abortion is right in any way shape or form. I do not believe the government has the right to make that decision. This is a decision to be made by the parents of the unborn child. NOT the government.	1661	pro-choice-vs-pro-life	pro-choice
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	While I personally do not think that abortion is right in any way shape or form. I do not believe the government has the right to make that decision. This is a decision to be made by the parents of the unborn child. NOT the government.	1661	pro-choice-vs-pro-life	pro-choice
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.	76937	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.	76937	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.	76937	pro-choice-vs-pro-life	pro-life
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	13260	pro-choice-vs-pro-life	pro-life
2	y	3 (High)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	1 (Low)	2 (Average)	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	13260	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	13260	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	30319	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	30319	pro-choice-vs-pro-life	pro-life
3	y	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	30319	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	"""The government has no place to tell a woman what she can do with her own body, ever."" <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different."	13275	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	3 (High)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	"""The government has no place to tell a woman what she can do with her own body, ever."" <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different."	13275	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	"""The government has no place to tell a woman what she can do with her own body, ever."" <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different."	13275	pro-choice-vs-pro-life	pro-life
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	54474	pro-choice-vs-pro-life	pro-life
2	y	2 (Average)	2 (Average)	3 (High)	1 (Low)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	54474	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	54474	pro-choice-vs-pro-life	pro-life
1	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?	13279	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?	13279	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?	13279	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	70668	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	70668	pro-choice-vs-pro-life	pro-life
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	70668	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	"""If a women is raped"" is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well."	13270	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	"""If a women is raped"" is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well."	13270	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	"""If a women is raped"" is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well."	13270	pro-choice-vs-pro-life	pro-life
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then ""that"" is no longer yours, since it feels outside your own."	13259	pro-choice-vs-pro-life	pro-life
2	y	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then ""that"" is no longer yours, since it feels outside your own."	13259	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then ""that"" is no longer yours, since it feels outside your own."	13259	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society	75146	pro-choice-vs-pro-life	pro-life
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society	75146	pro-choice-vs-pro-life	pro-life
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society	75146	pro-choice-vs-pro-life	pro-life
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	i'm not pleased with the idea to increase P.E. requirement. First, i thinks that it is not up to the college to require students to exercise. i believes that students have the responsible to choose whether or not to work out. Also, i says that there shouldn't be any P.E. requirement in the college. According to me, the college is a place to train our brain not our body. i adds that if students do need exercise, they can exercise on their own as me. i goes hiking and plays basketball in my neighborhood.	arg245105	should-physical-education-be-mandatory-in-schools	no
2	y	2 (Average)	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	1 (Low)	i'm not pleased with the idea to increase P.E. requirement. First, i thinks that it is not up to the college to require students to exercise. i believes that students have the responsible to choose whether or not to work out. Also, i says that there shouldn't be any P.E. requirement in the college. According to me, the college is a place to train our brain not our body. i adds that if students do need exercise, they can exercise on their own as me. i goes hiking and plays basketball in my neighborhood.	arg245105	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	i'm not pleased with the idea to increase P.E. requirement. First, i thinks that it is not up to the college to require students to exercise. i believes that students have the responsible to choose whether or not to work out. Also, i says that there shouldn't be any P.E. requirement in the college. According to me, the college is a place to train our brain not our body. i adds that if students do need exercise, they can exercise on their own as me. i goes hiking and plays basketball in my neighborhood.	arg245105	should-physical-education-be-mandatory-in-schools	no
1	y	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	arg312577	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	arg312577	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	arg312577	should-physical-education-be-mandatory-in-schools	no
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Gym class is a useless class that students waste time in. There should be a test and if people can not run a mile without stopping every couple feet they should join. There is also the fact people can join to get prepared for sports. Students should have that class time to use it towards their careers and not a class that is just there.	arg203471	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	Gym class is a useless class that students waste time in. There should be a test and if people can not run a mile without stopping every couple feet they should join. There is also the fact people can join to get prepared for sports. Students should have that class time to use it towards their careers and not a class that is just there.	arg203471	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Gym class is a useless class that students waste time in. There should be a test and if people can not run a mile without stopping every couple feet they should join. There is also the fact people can join to get prepared for sports. Students should have that class time to use it towards their careers and not a class that is just there.	arg203471	should-physical-education-be-mandatory-in-schools	no
1	y	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Physical education does absolutely nothing for the children's health and/or lifestyle. Let me describe my PE experience. <br/> Throughout my public education career, PE has been mandatory for each year. This has involved barely moving, standing talking with friends, half-hearted volleyball/dodgeball, yearly physical fitness tests that don't require effort, DDR, bouncing on fitness balls, and, most recently at my arts high school, watching sports documentaries and playing Wii Sports. <br/> Unless public education is reformed, health classes can teach children what they need to know about fitness and nutrition, because PE classes are severely lacking.	arg54267	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	Physical education does absolutely nothing for the children's health and/or lifestyle. Let me describe my PE experience. <br/> Throughout my public education career, PE has been mandatory for each year. This has involved barely moving, standing talking with friends, half-hearted volleyball/dodgeball, yearly physical fitness tests that don't require effort, DDR, bouncing on fitness balls, and, most recently at my arts high school, watching sports documentaries and playing Wii Sports. <br/> Unless public education is reformed, health classes can teach children what they need to know about fitness and nutrition, because PE classes are severely lacking.	arg54267	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Physical education does absolutely nothing for the children's health and/or lifestyle. Let me describe my PE experience. <br/> Throughout my public education career, PE has been mandatory for each year. This has involved barely moving, standing talking with friends, half-hearted volleyball/dodgeball, yearly physical fitness tests that don't require effort, DDR, bouncing on fitness balls, and, most recently at my arts high school, watching sports documentaries and playing Wii Sports. <br/> Unless public education is reformed, health classes can teach children what they need to know about fitness and nutrition, because PE classes are severely lacking.	arg54267	should-physical-education-be-mandatory-in-schools	no
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	while yes phys. ed. classes should still be in high schools they shouldnt be mandatory(especially not all 4 years of HS). maybe just having PE be an optional class and having one year be a mandatory thing instead of a continuous PE class. in lower grades, yes it should be mandatory because little kids are more likely to gain and lose weight in weird patterns. That Is All.	arg39274	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	while yes phys. ed. classes should still be in high schools they shouldnt be mandatory(especially not all 4 years of HS). maybe just having PE be an optional class and having one year be a mandatory thing instead of a continuous PE class. in lower grades, yes it should be mandatory because little kids are more likely to gain and lose weight in weird patterns. That Is All.	arg39274	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	while yes phys. ed. classes should still be in high schools they shouldnt be mandatory(especially not all 4 years of HS). maybe just having PE be an optional class and having one year be a mandatory thing instead of a continuous PE class. in lower grades, yes it should be mandatory because little kids are more likely to gain and lose weight in weird patterns. That Is All.	arg39274	should-physical-education-be-mandatory-in-schools	no
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	Besides just a few people apply physical exercises in their life's!	arg202607	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	Besides just a few people apply physical exercises in their life's!	arg202607	should-physical-education-be-mandatory-in-schools	no
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	Besides just a few people apply physical exercises in their life's!	arg202607	should-physical-education-be-mandatory-in-schools	no
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	P.E doesn't help fat kids the fat kids just eat too much or they are growing and eventually they will be normal.	arg216634	should-physical-education-be-mandatory-in-schools	no
2	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	P.E doesn't help fat kids the fat kids just eat too much or they are growing and eventually they will be normal.	arg216634	should-physical-education-be-mandatory-in-schools	no
